BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
1306465,The Newbery & Caldecott awards.,,,,"Association for Library Service to Children,","Newbery Medal Bibliography Periodicals, Caldecott Medal Bibliography Periodicals",arbk,ncref,NA,swt,2018-03-01T00:00:00.000,1
2676604,Maisy goes on vacation / Lucy Cousins.,"Cousins, Lucy","0763647527, 9780763647520",2010.,"Candlewick Press,","Maisy Fictitious character from Cousins Juvenile fiction, Mice Juvenile fiction, Vacations Juvenile fiction, Seashore Juvenile fiction, Friendship Fiction",jcbk,ncpic,NA,net,2018-03-01T00:00:00.000,1
2805548,Bloody Monday. 2 / story by Ryumon Ryou ; art by Megumi Koji ; translated by Mari Morimoto ; lettered by Bobby Timony.,"Ryumon, Ryō, 1962-","193542923X, 9781935429234",[2011],"Kodansha,","Hackers Comic books strips etc, Fathers and sons Comic books strips etc, Terrorists Japan Tokyo Comic books strips etc, Graphic novels",acbk,nycomic,NA,uni,2018-03-01T00:00:00.000,1
3224262,Game of shadows / Erika Lewis.,"Lewis, Erika, 1968-","0765381389, 9780765381385",2017.,"Tor,","Imaginary places Fiction, Mothers and sons Fiction, Fantasy fiction, Psychological fiction",acbk,casf,NA,cen,2018-03-01T00:00:00.000,2
2947481,Puget Sound : a boater's guide / Anne & Laurence Yeadon-Jones.,"Yeadon-Jones, Anne","0973986514, 9780973986518",[2013],"Dreamspeaker guides,","Boats and boating Washington State Puget Sound Guidebooks, Puget Sound Wash Guidebooks",acbk,nanf,NA,hip,2018-03-01T00:00:00.000,1
2417432,"Galápagos : the islands that changed the world / BBC Worldwide Ltd. ; British Broadcasting Corporation ; 2 Entertain Video Limited ; a Wildvision/National Geographic Channel US co-production ; series producer, Patrick Morris ; producers, Patrick Morris, Andrew Murray.",,"1419850741, 9781419850745",[2007],"BBC Video : Distributed by BBC Worldwide Americas ; Distributed by Warner Home Video,","Island ecology Galapagos Islands, Natural history Galapagos Islands, Biodiversity Galapagos Islands, Galapagos Islands, Nature television programs, Documentary television programs, Nonfiction television programs, Video recordings for the hearing impaired",acdvd,cadvdnf,NA,cen,2018-03-01T00:00:00.000,2
2968591,Mother's Day / by Ann Heinrichs ; illustrated by R. W. Alley.,"Heinrichs, Ann","1623235103, 9781623235109",2013.,"The Child's World,",Mothers Day Juvenile literature,jcbk,nchol,NA,lcy,2018-03-01T00:00:00.000,1
2627267,Manatees / Precious McKenzie.,"McKenzie, Precious, 1975-","1606944037, 9781606944035",2010.,"Rourke Pub.,","Manatees Juvenile literature, Endangered species Juvenile literature",jcbk,ccnf,NA,cen,2018-03-01T00:00:00.000,1
3014925,Indian basics : 85 recipes illustrated step by step / Jody Vassallo ; photographs by James Lyndsay .,"Vassallo, Jody","155407939X, 9781554079391",2011.,"Firefly Books,","Cooking Indic, Cookbooks",acbk,canf,NA,cen,2018-03-01T00:00:00.000,2
729537,Country blacksmithing / by Charles McRaven ; photos. by Linda Moore McRaven and the author ; drawings by Chandis Ingenthron and the author.,"McRaven, Charles","0060148705, 006090870X, 0690019629",[1981],"Harper & Row,",Blacksmithing,acbk,canf,NA,cen,2018-03-01T00:00:00.000,1
